Image,SSIM,PSNR,MSE,MAE,Entropy,EPI
00 (74).jpg,0.8523564887180328,26.286141266446958,152.92068481445312,9.490845,7.357028373114079,0.37308754384655574
00 (139).jpg,0.9136509646353722,25.384472278059103,188.2058563232422,10.748215,7.774702774096521,0.6255884330867518
00 (84).jpg,0.9302992520322799,25.606504669785018,178.82568359375,10.386719,7.705871638332072,0.6973000596201345
00 (137).jpg,0.9464915407600403,26.210580599202636,155.60455322265625,9.250092,7.76936450274275,0.7885458612975391
00 (59).jpg,0.937483065571785,24.92015379369809,209.4425811767578,11.424973,7.6789430161969605,0.6092427093132643
00 (112).jpg,0.8738163883562088,23.113499894203116,317.490234375,13.919373,7.3201914901454135,0.5730395199668943
00 (79).jpg,0.8919694948701858,24.906991497587292,210.07830810546875,11.724365,7.61758495644437,0.5507425742574258
00 (57).jpg,0.9250647088632583,24.78450360123726,216.08767700195312,12.153687,7.657827028597772,0.7126436781609196
00 (132).jpg,0.9144964175701141,26.022955527427627,162.47434997558594,9.464401,7.632438385152687,0.6329956856124554
00 (81).jpg,0.893365037232399,25.57858480164219,179.97901916503906,10.1045685,7.536741171153187,0.6243016759776536
00 (111).jpg,0.9169295308532714,22.813680480080944,340.1827697753906,13.748505,7.416974242416756,0.791482184271558
00 (109).jpg,0.8822220584793091,22.730028351371544,346.7987518310547,14.809891,7.386463076769047,0.6609686609686609
00 (106).jpg,0.8678425943675041,22.204415659289566,391.41619873046875,15.924194,7.397795966988678,0.6100568242736142
00 (116).jpg,0.9043111725521088,22.431491746743518,371.4763641357422,14.608688,7.40214517266694,0.7902000641917193
00 (131).jpg,0.9316081816616059,24.75681217264279,217.4698944091797,11.171951,7.629660285877856,0.7384868421052632
00 (78).jpg,0.8896173572041989,23.77489379003567,272.64088439941406,12.729172,7.611271307634826,0.5149324111914493
00 (77).jpg,0.8569003679001331,25.050142368535063,203.2666473388672,11.077347,7.64100586852075,0.4051210797935689
00 (141).jpg,0.9066087127299309,24.626028907666722,224.11837768554688,11.777252,7.780630549048165,0.6095614182490338
00 (138).jpg,0.9252612486505508,25.224090573581872,195.2860870361328,10.733688,7.757269003678654,0.6800619568023406
00 (80).jpg,0.9249617797064781,25.781130506705864,171.7779083251953,9.427139,7.65181191394516,0.6618092627326504
00 (54).jpg,0.9534505366849899,24.859597138903318,212.38343811035156,11.074234,7.660648526291745,0.7314990512333965
00 (113).jpg,0.9109604633560181,22.525062376131338,363.558349609375,14.243744,7.38255229634617,0.7678153584343756
00 (134).jpg,0.9314202297916412,25.42526688159043,186.44625854492188,10.078918,7.66485031350984,0.7374906646751307
00 (133).jpg,0.9315996019878388,26.456629593256878,147.03387451171875,9.193207,7.662830795875291,0.7470444736348283
00 (107).jpg,0.9040780899724961,22.677359017739388,351.0301818847656,14.9861145,7.4518352454832515,0.649616368286445
